rawGeofenceID,fullRegionID,geofenceDistance,geofenceType,storeID,storeLocationtext
A5EE0942988340B482D2F20B91C3AE6F,gimbal:place:A5EE0942988340B482D2F20B91C3AE6F:2337-1,2337-1,storeEntry,2337,Wells & North Avenue
0630C1515E0540A7B544136DA2750C22,gimbal:place:0630C1515E0540A7B544136DA2750C22:2338-1,2338-1,storeEntry,2338,Southwest Corner Of Pr 3 & Pr 976
40AF0947BBD44B7BBEF8CCDFB9DF234C,gimbal:place:40AF0947BBD44B7BBEF8CCDFB9DF234C:2338,2338,driveToStore,2338,Southwest Corner Of Pr 3 & Pr 976
C17A21F9A0904CEC93694E3AA24CE8AC,gimbal:place:C17A21F9A0904CEC93694E3AA24CE8AC:2339-1,2339-1,storeEntry,2339,Howard & Western
A7E9A0BBB0FD4A08B44550F62042E64D,gimbal:place:A7E9A0BBB0FD4A08B44550F62042E64D:2339,2339,driveToStore,2339,Howard & Western
7150940900734C8DB7C06850D2360B17,gimbal:place:7150940900734C8DB7C06850D2360B17:2340,2340,driveToStore,2340,Chicago & Ashland
A07862BEB681428382AF7BF881D84A2B,gimbal:place:A07862BEB681428382AF7BF881D84A2B:2340-1,2340-1,storeEntry,2340,Chicago & Ashland
90007AB636F44474ADCDF27EBB86C072,gimbal:place:90007AB636F44474ADCDF27EBB86C072:2341,2341,driveToStore,2341,Western & Roscoe
DD78770F90924C0DA36D6C82873E47E6,gimbal:place:DD78770F90924C0DA36D6C82873E47E6:2341-1,2341-1,storeEntry,2341,Western & Roscoe
55303F1E22EE48559D612C641F5E2973,gimbal:place:55303F1E22EE48559D612C641F5E2973:2342-1,2342-1,storeEntry,2342,Wasson & Paxton
942A40FAB4BA4D2DB95C2937B1E0F638,gimbal:place:942A40FAB4BA4D2DB95C2937B1E0F638:2342,2342,driveToStore,2342,Wasson & Paxton
D7DD55043E7D4CEABEF3FAA19A7AAA93,gimbal:place:D7DD55043E7D4CEABEF3FAA19A7AAA93:2343,2343,driveToStore,2343,Northeast Corner Of Cesar Gonzalez Ext & Pinero Ave
5653114740A94919949A11CEE42806BF,gimbal:place:5653114740A94919949A11CEE42806BF:2343-1,2343-1,storeEntry,2343,Northeast Corner Of Cesar Gonzalez Ext & Pinero Ave
22914B92B295479FBBAE90C31C93B4D8,gimbal:place:22914B92B295479FBBAE90C31C93B4D8:2344,2344,driveToStore,2344,Northeast Corner Of Pr 167 & Pr 830
52FB2DFDD9644B37BB6E4CB1EF0B8D6E,gimbal:place:52FB2DFDD9644B37BB6E4CB1EF0B8D6E:2344-1,2344-1,storeEntry,2344,Northeast Corner Of Pr 167 & Pr 830
67E1A78CE0FB45BAB1998B528D569BBA,gimbal:place:67E1A78CE0FB45BAB1998B528D569BBA:2345-1,2345-1,storeEntry,2345,Hopkins & Hampton
A3B8A6FABFB8478CA80564D23FA9F63D,gimbal:place:A3B8A6FABFB8478CA80564D23FA9F63D:2345,2345,driveToStore,2345,Hopkins & Hampton
0ADFCC2F53DE422E8785E8DD6B0B0553,gimbal:place:0ADFCC2F53DE422E8785E8DD6B0B0553:2346-1,2346-1,storeEntry,2346,992 Ave Hostos
1CE088B9341640FB98C4F188D744B323,gimbal:place:1CE088B9341640FB98C4F188D744B323:2346,2346,driveToStore,2346,992 Ave Hostos
2F62A9FAC45242F1AAF003D2ABA26D27,gimbal:place:2F62A9FAC45242F1AAF003D2ABA26D27:2347,2347,driveToStore,2347,100 Grand Paseo Blvd
DC481F4B33484FB28BC4939A74E55520,gimbal:place:DC481F4B33484FB28BC4939A74E55520:2347-1,2347-1,storeEntry,2347,100 Grand Paseo Blvd
E2A7DBAB45DB49EF85F1FCB29D813DD5,gimbal:place:E2A7DBAB45DB49EF85F1FCB29D813DD5:2348-1,2348-1,storeEntry,2348,643 Yauco Plaza Ii
6D891AE62D9D4B04A75553F9C8ECE946,gimbal:place:6D891AE62D9D4B04A75553F9C8ECE946:2348,2348,driveToStore,2348,643 Yauco Plaza Ii
58C6F28A94BF45AAB127612D8916CA3F,gimbal:place:58C6F28A94BF45AAB127612D8916CA3F:2349-1,2349-1,storeEntry,2349,Mayfair & John Daly Boulevard
48086BF438D64E1681B238ACF4872C87,gimbal:place:48086BF438D64E1681B238ACF4872C87:2349,2349,driveToStore,2349,Mayfair & John Daly Boulevard
FECDB2A1C4754C29891D1FFECCBC0E45,gimbal:place:FECDB2A1C4754C29891D1FFECCBC0E45:2350,2350,driveToStore,2350,Southwest Corner Of Pimentel & Pr 3
40B5A1BFFF834EEBB09BA296E3C90255,gimbal:place:40B5A1BFFF834EEBB09BA296E3C90255:2350-1,2350-1,storeEntry,2350,Southwest Corner Of Pimentel & Pr 3
75E0DB5AC2F447848FEE18B3C1B8A530,gimbal:place:75E0DB5AC2F447848FEE18B3C1B8A530:2351-1,2351-1,storeEntry,2351,Rafael Cordero Ave Intersection Road #32 (Munoz Marin)
8B2A6205F8CF4E2EB7A28809881EA759,gimbal:place:8B2A6205F8CF4E2EB7A28809881EA759:2351,2351,driveToStore,2351,Rafael Cordero Ave Intersection Road #32 (Munoz Marin)
9FF7D55CBFD14234A22AD9FC7B9D4B88,gimbal:place:9FF7D55CBFD14234A22AD9FC7B9D4B88:2352-1,2352-1,storeEntry,2352,Northwest Corner Mall Entrance & Rd 2
579B506BE5FA4F2A9D99C23F1FF1D33B,gimbal:place:579B506BE5FA4F2A9D99C23F1FF1D33B:2352,2352,driveToStore,2352,Northwest Corner Mall Entrance & Rd 2
3CA2CEE019B541EBB89928FD5310BDD9,gimbal:place:3CA2CEE019B541EBB89928FD5310BDD9:2353,2353,driveToStore,2353,16Th & Stout
F673F3F3479B48D7A8C7828F0DF9831F,gimbal:place:F673F3F3479B48D7A8C7828F0DF9831F:2353-1,2353-1,storeEntry,2353,16Th & Stout
1B3B8872466144EEA2739DA357276AFB,gimbal:place:1B3B8872466144EEA2739DA357276AFB:2354-1,2354-1,storeEntry,2354,Euclid & 26Th
E835ED5B5B7544FF843A79003E2CBADF,gimbal:place:E835ED5B5B7544FF843A79003E2CBADF:2354,2354,driveToStore,2354,Euclid & 26Th
D233160C9AC94B03A784CC4188F890BC,gimbal:place:D233160C9AC94B03A784CC4188F890BC:2355-1,2355-1,storeEntry,2355,Northeast Corner Of S R 446 & S R 111
8F2E72CC34584EA79EDA3407577170A6,gimbal:place:8F2E72CC34584EA79EDA3407577170A6:2355,2355,driveToStore,2355,Northeast Corner Of S R 446 & S R 111
BDA3F3969D404F698ADB1EC5666EA74C,gimbal:place:BDA3F3969D404F698ADB1EC5666EA74C:2356,2356,driveToStore,2356,Northeast Corner Campo Rico & 65Th Infantry
D3BF394B920F452B9A351911E0C02048,gimbal:place:D3BF394B920F452B9A351911E0C02048:2356-1,2356-1,storeEntry,2356,Northeast Corner Campo Rico & 65Th Infantry
8373E77E58F64AE08C097F3ABD5FC6E9,gimbal:place:8373E77E58F64AE08C097F3ABD5FC6E9:2357,2357,driveToStore,2357,2097 Ave Hostos
A3E4962D0CE8443AA6B6636351D7671D,gimbal:place:A3E4962D0CE8443AA6B6636351D7671D:2357-1,2357-1,storeEntry,2357,2097 Ave Hostos
D1115671026F471794C5A46AF83E1BF1,gimbal:place:D1115671026F471794C5A46AF83E1BF1:2358-1,2358-1,storeEntry,2358,Southwest Corner Street 1 & State Rd 167
5ACB9F4D6B834D1CB1D3C3C7B20719B1,gimbal:place:5ACB9F4D6B834D1CB1D3C3C7B20719B1:2358,2358,driveToStore,2358,Southwest Corner Street 1 & State Rd 167
FF21341835D54565968BCC53D6DA7472,gimbal:place:FF21341835D54565968BCC53D6DA7472:2359,2359,driveToStore,2359,Southeast Corner Munoz Rivera & Universidad
DEA6E0A6635F47AB9568349BF618EEE5,gimbal:place:DEA6E0A6635F47AB9568349BF618EEE5:2359-1,2359-1,storeEntry,2359,Southeast Corner Munoz Rivera & Universidad
A98F27E7B546469C9ADDE0E263E42DD5,gimbal:place:A98F27E7B546469C9ADDE0E263E42DD5:2360,2360,driveToStore,2360,Southeast Corner Of Pr 1 & Degetau Ave
95EB8F8FB8B0456587B8A7F22C7754CE,gimbal:place:95EB8F8FB8B0456587B8A7F22C7754CE:2360-1,2360-1,storeEntry,2360,Southeast Corner Of Pr 1 & Degetau Ave
5117214362274CE7A810EDA068AD1143,gimbal:place:5117214362274CE7A810EDA068AD1143:2361-1,2361-1,storeEntry,2361,Southeast Corner Of Pr 149 & Pr 2
8F364CF6AA5F422BAE4782E169496E33,gimbal:place:8F364CF6AA5F422BAE4782E169496E33:2361,2361,driveToStore,2361,Southeast Corner Of Pr 149 & Pr 2
7DFDD18211D848CEA3D0CB22A1189C22,gimbal:place:7DFDD18211D848CEA3D0CB22A1189C22:2362-1,2362-1,storeEntry,2362,Highway 100 & Duluth Street
9EE0858114D144938FFD1247ABDF22E4,gimbal:place:9EE0858114D144938FFD1247ABDF22E4:2362,2362,driveToStore,2362,Highway 100 & Duluth Street
A17BC5ED346748C9B56BC0F31003F6CC,gimbal:place:A17BC5ED346748C9B56BC0F31003F6CC:2363,2363,driveToStore,2363,Calle 3 #1
3201976B5A4B42939F8CF095B768CE8B,gimbal:place:3201976B5A4B42939F8CF095B768CE8B:2363-1,2363-1,storeEntry,2363,Calle 3 #1
72CE798D8FA64365961E2F5ADC9BD12E,gimbal:place:72CE798D8FA64365961E2F5ADC9BD12E:2364-1,2364-1,storeEntry,2364,Young Circle & Hollywood Boulevard
2AC115B8053A4CFAB6D6503DFF369EEE,gimbal:place:2AC115B8053A4CFAB6D6503DFF369EEE:2364,2364,driveToStore,2364,Young Circle & Hollywood Boulevard
